"Crime","State/UT","Year","Count"
"Arson","A&N Islands","2001",0
"Arson","Andhra Pradesh","2001",6
"Arson","Arunachal Pradesh","2001",0
"Arson","Assam","2001",1
"Arson","Bihar","2001",17
"Arson","Chandigarh","2001",0
"Arson","Chhattisgarh","2001",0
"Arson","D&N Haveli","2001",0
"Arson","Daman & Diu","2001",0
"Arson","Delhi UT","2001",0
"Arson","Goa","2001",0
"Arson","Gujarat","2001",9
"Arson","Haryana","2001",5
"Arson","Himachal Pradesh","2001",0
"Arson","Jammu & Kashmir","2001",0
"Arson","Jharkhand","2001",2
"Arson","Karnataka","2001",0
"Arson","Kerala","2001",2
"Arson","Lakshadweep","2001",0
"Arson","Madhya Pradesh","2001",50
"Arson","Maharashtra","2001",5
"Arson","Manipur","2001",0
"Arson","Meghalaya","2001",0
"Arson","Mizoram","2001",0
"Arson","Nagaland","2001",0
"Arson","Odisha","2001",13
"Arson","Puducherry","2001",0
"Arson","Punjab","2001",0
"Arson","Rajasthan","2001",47
"Arson","Sikkim","2001",0
"Arson","Tamil Nadu","2001",18
"Arson","Tripura","2001",0
"Arson","Uttar Pradesh","2001",178
"Arson","Uttarakhand","2001",1
"Arson","West Bengal","2001",0
"Dacoity","A&N Islands","2001",0
"Dacoity","Andhra Pradesh","2001",3
"Dacoity","Arunachal Pradesh","2001",0
"Dacoity","Assam","2001",0
"Dacoity","Bihar","2001",2
"Dacoity","Chandigarh","2001",0
"Dacoity","Chhattisgarh","2001",0
"Dacoity","D&N Haveli","2001",0
"Dacoity","Daman & Diu","2001",0
"Dacoity","Delhi UT","2001",0
"Dacoity","Goa","2001",0
"Dacoity","Gujarat","2001",8
"Dacoity","Haryana","2001",0
"Dacoity","Himachal Pradesh","2001",0
"Dacoity","Jammu & Kashmir","2001",0
"Dacoity","Jharkhand","2001",1
"Dacoity","Karnataka","2001",1
"Dacoity","Kerala","2001",0
"Dacoity","Lakshadweep","2001",0
"Dacoity","Madhya Pradesh","2001",1
"Dacoity","Maharashtra","2001",4
"Dacoity","Manipur","2001",0
"Dacoity","Meghalaya","2001",0
"Dacoity","Mizoram","2001",0
"Dacoity","Nagaland","2001",0
"Dacoity","Odisha","2001",0
"Dacoity","Puducherry","2001",0
"Dacoity","Punjab","2001",0
"Dacoity","Rajasthan","2001",0
"Dacoity","Sikkim","2001",0
"Dacoity","Tamil Nadu","2001",5
"Dacoity","Tripura","2001",0
"Dacoity","Uttar Pradesh","2001",16
"Dacoity","Uttarakhand","2001",0
"Dacoity","West Bengal","2001",0
"Hurt","A&N Islands","2001",0
"Hurt","Andhra Pradesh","2001",518
"Hurt","Arunachal Pradesh","2001",0
"Hurt","Assam","2001",4
"Hurt","Bihar","2001",378
"Hurt","Chandigarh","2001",0
"Hurt","Chhattisgarh","2001",101
"Hurt","D&N Haveli","2001",0
"Hurt","Daman & Diu","2001",0
"Hurt","Delhi UT","2001",0
"Hurt","Goa","2001",0
"Hurt","Gujarat","2001",284
"Hurt","Haryana","2001",76
"Hurt","Himachal Pradesh","2001",1
"Hurt","Jammu & Kashmir","2001",5
"Hurt","Jharkhand","2001",37
"Hurt","Karnataka","2001",181
"Hurt","Kerala","2001",169
"Hurt","Lakshadweep","2001",0
"Hurt","Madhya Pradesh","2001",663
"Hurt","Maharashtra","2001",48
"Hurt","Manipur","2001",0
"Hurt","Meghalaya","2001",0
"Hurt","Mizoram","2001",0
"Hurt","Nagaland","2001",0
"Hurt","Odisha","2001",380
"Hurt","Puducherry","2001",0
"Hurt","Punjab","2001",14
"Hurt","Rajasthan","2001",419
"Hurt","Sikkim","2001",2
"Hurt","Tamil Nadu","2001",422
"Hurt","Tripura","2001",0
"Hurt","Uttar Pradesh","2001",821
"Hurt","Uttarakhand","2001",23
"Hurt","West Bengal","2001",1
"Kidnapping & Abduction","A&N Islands","2001",0
"Kidnapping & Abduction","Andhra Pradesh","2001",22
"Kidnapping & Abduction","Arunachal Pradesh","2001",0
"Kidnapping & Abduction","Assam","2001",0
"Kidnapping & Abduction","Bihar","2001",8
"Kidnapping & Abduction","Chandigarh","2001",0
"Kidnapping & Abduction","Chhattisgarh","2001",8
"Kidnapping & Abduction","D&N Haveli","2001",0
"Kidnapping & Abduction","Daman & Diu","2001",0
"Kidnapping & Abduction","Delhi UT","2001",0
"Kidnapping & Abduction","Goa","2001",0
"Kidnapping & Abduction","Gujarat","2001",20
"Kidnapping & Abduction","Haryana","2001",15
"Kidnapping & Abduction","Himachal Pradesh","2001",0
"Kidnapping & Abduction","Jammu & Kashmir","2001",0
"Kidnapping & Abduction","Jharkhand","2001",4
"Kidnapping & Abduction","Karnataka","2001",1
"Kidnapping & Abduction","Kerala","2001",0
"Kidnapping & Abduction","Lakshadweep","2001",0
"Kidnapping & Abduction","Madhya Pradesh","2001",31
"Kidnapping & Abduction","Maharashtra","2001",5
"Kidnapping & Abduction","Manipur","2001",0
"Kidnapping & Abduction","Meghalaya","2001",0
"Kidnapping & Abduction","Mizoram","2001",0
"Kidnapping & Abduction","Nagaland","2001",0
"Kidnapping & Abduction","Odisha","2001",7
"Kidnapping & Abduction","Puducherry","2001",0
"Kidnapping & Abduction","Punjab","2001",4
"Kidnapping & Abduction","Rajasthan","2001",35
"Kidnapping & Abduction","Sikkim","2001",2
"Kidnapping & Abduction","Tamil Nadu","2001",16
"Kidnapping & Abduction","Tripura","2001",0
"Kidnapping & Abduction","Uttar Pradesh","2001",219
"Kidnapping & Abduction","Uttarakhand","2001",3
"Kidnapping & Abduction","West Bengal","2001",0
"Murder","A&N Islands","2001",0
"Murder","Andhra Pradesh","2001",45
"Murder","Arunachal Pradesh","2001",0
"Murder","Assam","2001",0
"Murder","Bihar","2001",28
"Murder","Chandigarh","2001",0
"Murder","Chhattisgarh","2001",8
"Murder","D&N Haveli","2001",0
"Murder","Daman & Diu","2001",0
"Murder","Delhi UT","2001",0
"Murder","Goa","2001",0
"Murder","Gujarat","2001",17
"Murder","Haryana","2001",7
